epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1092.75,1.47126,1.11197,1.22127,0.51528,0.58044,0.5518,0.32681,1.75283,1.21635,1.65941,0.00997906,0.00997906,0.00997906
43,1119.09,1.47413,1.11443,1.22165,0.50333,0.59811,0.56551,0.31687,1.76352,1.23676,1.59279,0.00997803,0.00997803,0.00997803
44,1144.88,1.47306,1.11253,1.22129,0.51631,0.58916,0.56055,0.33056,1.7523,1.21351,1.62324,0.00997697,0.00997697,0.00997697
45,1170.62,1.45923,1.10932,1.22127,0.51267,0.58534,0.5553,0.32717,1.70916,1.21168,1.61558,0.00997589,0.00997589,0.00997589
46,1196.48,1.46172,1.10762,1.21818,0.54314,0.56912,0.57711,0.33781,1.76361,1.18171,1.63688,0.00997478,0.00997478,0.00997478
47,1222.34,1.46662,1.10967,1.22075,0.53583,0.57936,0.578,0.3288,1.74395,1.22697,1.5932,0.00997365,0.00997365,0.00997365
48,1248.31,1.46094,1.11076,1.22373,0.52269,0.58866,0.57093,0.35137,1.71713,1.16587,1.60608,0.00997249,0.00997249,0.00997249
49,1274.51,1.45358,1.10552,1.21953,0.51769,0.57823,0.55364,0.33652,1.69629,1.21086,1.60884,0.00997131,0.00997131,0.00997131
50,1300.74,1.45818,1.10298,1.21243,0.54043,0.57704,0.57617,0.35236,1.70369,1.17824,1.59705,0.00997011,0.00997011,0.00997011
51,1326.57,1.45777,1.10489,1.2204,0.52606,0.58969,0.56619,0.35342,1.69287,1.16867,1.56698,0.00996888,0.00996888,0.00996888
52,1352.46,1.44746,1.09613,1.21228,0.5157,0.58526,0.56733,0.33406,1.68717,1.21715,1.59694,0.00996762,0.00996762,0.00996762
53,1378.48,1.44904,1.09966,1.21386,0.54013,0.56959,0.57074,0.34879,1.73445,1.1891,1.62756,0.00996634,0.00996634,0.00996634
54,1404.47,1.44799,1.09303,1.20672,0.53131,0.57921,0.57042,0.3545,1.68385,1.17858,1.5992,0.00996503,0.00996503,0.00996503
55,1430.67,1.44502,1.09452,1.21052,0.55142,0.56165,0.58403,0.35682,1.71813,1.16857,1.64538,0.0099637,0.0099637,0.0099637
56,1456.61,1.43844,1.09272,1.20628,0.53909,0.58902,0.58367,0.3538,1.6801,1.1583,1.58784,0.00996235,0.00996235,0.00996235
57,1482.58,1.43722,1.08823,1.20762,0.54054,0.57875,0.5784,0.35694,1.68011,1.15865,1.61098,0.00996097,0.00996097,0.00996097
58,1508.32,1.43103,1.08257,1.20075,0.53344,0.58994,0.58516,0.35713,1.67741,1.18519,1.62129,0.00995956,0.00995956,0.00995956
59,1534.22,1.43178,1.07712,1.20265,0.55532,0.58009,0.59308,0.36177,1.71023,1.13273,1.58109,0.00995813,0.00995813,0.00995813
60,1559.94,1.43572,1.08356,1.21081,0.54538,0.58332,0.59468,0.37435,1.68512,1.12288,1.59684,0.00995668,0.00995668,0.00995668
61,1585.86,1.44001,1.07493,1.20903,0.58307,0.57123,0.62581,0.39673,1.69505,1.06921,1.58495,0.0099552,0.0099552,0.0099552
62,1611.5,1.42651,1.06022,1.19753,0.58305,0.56538,0.62482,0.39879,1.66477,1.07082,1.57738,0.0099537,0.0099537,0.0099537
63,1637.75,1.43958,1.05665,1.20293,0.58428,0.55295,0.61582,0.37159,1.71448,1.13669,1.63224,0.00995217,0.00995217,0.00995217
64,1663.94,1.43089,1.04859,1.20462,0.65626,0.52727,0.63883,0.39397,1.71613,1.08556,1.59572,0.00995062,0.00995062,0.00995062
65,1689.65,1.44,1.04863,1.21433,0.5968,0.53775,0.61277,0.3587,1.7554,1.18304,1.68888,0.00994904,0.00994904,0.00994904
66,1715.66,1.45417,1.05545,1.21781,0.61321,0.52952,0.61301,0.37012,1.72591,1.13993,1.65699,0.00994744,0.00994744,0.00994744
67,1742.01,1.46211,1.05741,1.21515,0.6376,0.52693,0.62565,0.35296,1.79152,1.14965,1.66551,0.00994581,0.00994581,0.00994581
68,1768.23,1.45945,1.04401,1.21113,0.64187,0.51258,0.61052,0.36184,1.77785,1.17501,1.7286,0.00994416,0.00994416,0.00994416
69,1794.12,1.46601,1.05002,1.21739,0.67117,0.52071,0.63731,0.378,1.78862,1.1078,1.63803,0.00994248,0.00994248,0.00994248
70,1819.82,1.47479,1.04547,1.21471,0.57653,0.52619,0.5925,0.3579,1.74904,1.15007,1.64278,0.00994078,0.00994078,0.00994078
71,1845.9,1.46674,1.02931,1.21047,0.65086,0.52605,0.62821,0.37149,1.79215,1.13511,1.67188,0.00993906,0.00993906,0.00993906
72,1871.98,1.48089,1.03282,1.21171,0.63376,0.52775,0.62056,0.35975,1.77578,1.15511,1.65949,0.00993731,0.00993731,0.00993731
73,1897.85,1.48177,1.04669,1.22148,0.64331,0.52086,0.62495,0.377,1.76025,1.11456,1.64648,0.00993553,0.00993553,0.00993553
74,1923.47,1.49018,1.04387,1.22009,0.66973,0.51105,0.63073,0.37494,1.78009,1.07746,1.6315,0.00993373,0.00993373,0.00993373
75,1949.39,1.48998,1.04645,1.22479,0.60222,0.52202,0.59705,0.33153,1.82899,1.23152,1.71452,0.00993191,0.00993191,0.00993191
76,1975.28,1.49596,1.03602,1.21517,0.61152,0.51092,0.59834,0.34977,1.83763,1.17298,1.71209,0.00993006,0.00993006,0.00993006
77,2001.43,1.48614,1.05819,1.23086,0.65669,0.51044,0.62176,0.3807,1.75116,1.10744,1.6467,0.00992819,0.00992819,0.00992819
78,2027.45,1.49645,1.04828,1.22795,0.64696,0.50783,0.61769,0.37126,1.79155,1.12093,1.6573,0.00992629,0.00992629,0.00992629
79,2053.59,1.47654,1.02556,1.21575,0.6387,0.50323,0.60701,0.3672,1.75852,1.14101,1.67328,0.00992437,0.00992437,0.00992437
80,2079.54,1.47366,1.01687,1.21341,0.664,0.52251,0.63282,0.38281,1.76457,1.10065,1.6557,0.00992242,0.00992242,0.00992242
81,2105.74,1.47372,1.0139,1.21026,0.59286,0.51977,0.59223,0.32465,1.83539,1.24935,1.70046,0.00992045,0.00992045,0.00992045
82,2131.52,1.48367,1.03275,1.2251,0.6431,0.51854,0.62374,0.36489,1.81522,1.13778,1.65769,0.00991846,0.00991846,0.00991846
83,2157.45,1.47452,1.00883,1.20737,0.67613,0.52681,0.64271,0.38035,1.769,1.07668,1.57456,0.00991644,0.00991644,0.00991644
84,2183.17,1.48277,1.02104,1.2174,0.65432,0.51308,0.622,0.36637,1.76619,1.1215,1.61487,0.00991439,0.00991439,0.00991439
85,2208.9,1.47516,1.00783,1.21756,0.66527,0.51997,0.63193,0.36816,1.80609,1.11542,1.61464,0.00991232,0.00991232,0.00991232
86,2234.95,1.48032,1.01336,1.2167,0.67416,0.51687,0.63646,0.38861,1.72641,1.05974,1.57341,0.00991023,0.00991023,0.00991023
87,2261.13,1.47077,1.00488,1.20906,0.66869,0.52427,0.63431,0.37697,1.79588,1.10508,1.64339,0.00990811,0.00990811,0.00990811
88,2286.95,1.47148,1.00523,1.21201,0.69164,0.52517,0.64947,0.40064,1.73568,1.02881,1.60561,0.00990597,0.00990597,0.00990597
89,2312.8,1.46202,0.99393,1.20324,0.68566,0.53453,0.64993,0.39124,1.7577,1.07097,1.59226,0.0099038,0.0099038,0.0099038
